churn;accountlength;internationalplan;voicemailplan;numbervmailmessages;totaldayminutes;totaldaycalls;totaldaycharge;totaleveminutes;totalevecalls;totalevecharge;totalnightminutes;totalnightcalls;totalnightcharge;totalintlminutes;totalintlcalls;totalintlcharge;numbercustomerservicecalls
No;86;no;yes;30;999;84;1698;2635;125;224;2547;90;1146;98;7;265;2
No;176;no;no;0;2509;108;4265;1714;100;1457;1486;85;669;96;6;259;2
No;96;yes;no;0;2006;117;341;2895;120;2461;983;95;442;112;5;302;2
No;11;no;yes;38;2098;130;3567;1966;84;1671;2330;79;1049;70;7;189;1
No;48;no;yes;34;1980;70;3366;2737;121;2326;2179;71;981;76;4;205;1
No;127;no;no;0;2398;107;4077;1289;121;1096;2499;110;1125;113;5;305;1
No;63;no;no;0;1645;75;2797;1479;118;1257;2527;97;1137;112;2;302;0
No;79;no;no;0;2209;107;3755;1922;97;1634;1610;74;725;122;2;329;1
No;47;no;yes;37;1128;150;1918;2439;97;2073;1787;112;804;132;6;356;2
Yes;89;yes;yes;19;1126;114;1914;2617;132;2224;1235;116;556;111;2;30;0
No;83;no;yes;26;2264;117;3849;2347;97;1995;1336;82;601;108;7;292;1
No;126;yes;yes;34;2449;118;4163;2196;105;1867;2108;136;949;97;6;262;4
No;60;no;no;0;2032;99;3454;2358;131;2004;2249;112;1012;151;6;408;2
No;122;no;no;0;1367;115;2324;2431;137;2066;1889;110;85;86;4;232;0
No;136;no;no;0;1526;97;2594;2089;85;1776;1191;99;536;50;10;135;1
No;172;no;yes;47;2749;102;4673;1866;118;1586;2450;123;1103;88;2;238;1
Yes;102;no;no;0;1957;116;3327;2091;87;1777;2011;73;905;83;3;224;1
No;113;yes;no;0;2043;82;3473;1888;115;1605;1394;97;627;92;7;248;1
No;79;no;no;0;2223;99;3779;1462;82;1243;2756;82;124;89;4;24;3
No;55;no;yes;8;2225;104;3783;1715;94;1458;3775;114;1699;97;2;262;1
No;111;no;yes;28;1288;104;219;1573;52;1337;1474;76;663;103;2;278;2
No;160;no;no;0;1743;105;2963;1713;107;1456;2208;131;994;83;2;224;0
No;110;no;no;0;2425;110;4123;1623;140;138;1841;86;828;78;3;211;4
No;192;no;no;0;2216;101;3767;2852;50;2424;1674;83;753;127;6;343;4
No;93;no;no;0;1143;100;1943;2211;103;1879;1263;88;568;109;9;294;0
No;101;no;yes;33;2197;137;3735;1868;94;1588;1845;113;83;95;2;257;2
No;77;no;no;0;1449;136;2463;1513;115;1286;2524;73;1136;123;3;332;2
No;105;no;yes;40;2365;111;4021;1170;110;995;2211;115;995;81;3;219;2
Yes;133;no;yes;44;1740;80;2958;2094;113;178;2241;87;1008;141;7;381;2
No;131;no;no;0;1095;95;1862;3321;48;2823;2586;108;1164;66;7;178;1
No;106;no;yes;33;816;120;1387;2356;85;2003;1509;113;679;99;4;267;1
No;118;no;no;0;1334;113;2268;1210;92;1029;2547;129;1146;59;4;159;1
No;125;no;no;0;1371;94;2331;2098;83;1783;2384;114;1073;86;4;232;1
No;95;no;no;0;1970;88;3349;1904;68;1618;2119;104;954;161;8;435;0
No;80;no;no;0;1981;160;3368;1567;87;1332;1821;76;819;93;3;251;3
No;145;no;no;0;395;78;672;2643;106;2247;1858;90;836;100;6;27;0
No;37;no;no;0;1995;107;3392;2075;110;1764;839;123;378;81;4;219;2
No;87;no;no;0;1568;93;2666;2158;68;1834;2233;77;1005;76;6;205;1
No;69;no;no;0;1834;85;3118;2376;100;202;2280;94;1026;90;5;243;3
No;83;no;no;0;1324;120;2251;1216;101;1034;1977;84;89;86;2;232;1
No;195;no;no;0;632;108;1074;2202;88;1872;1840;99;828;51;3;138;0
Yes;67;yes;yes;35;1811;59;3079;2159;116;1835;2163;106;973;169;4;456;0
No;75;no;yes;27;1175;102;1998;2068;127;1758;1944;114;875;42;7;113;3
No;123;no;yes;27;2187;79;3718;1634;78;1389;1738;116;782;150;1;405;0
No;41;no;yes;41;2073;95;3524;1373;120;1167;1157;74;521;59;3;159;1
No;75;no;no;0;1506;99;256;3015;83;2563;1587;104;714;81;5;219;0
Yes;76;yes;no;0;2733;66;4646;2636;121;2241;1652;84;743;120;7;324;1
No;86;yes;no;0;2661;120;4524;1820;92;1547;2065;103;929;103;4;278;1
No;140;no;no;0;1128;89;1918;1567;65;1332;2496;85;1123;163;6;44;0
No;70;no;no;0;1047;112;178;822;104;699;1694;110;762;158;7;427;3
No;121;no;yes;35;1938;62;3295;1976;97;168;2188;95;985;59;4;159;0
No;112;no;no;0;1686;102;2866;2980;117;2533;1947;110;876;98;5;265;1
No;118;no;no;0;2532;122;4304;2010;78;1709;1953;108;879;97;7;262;2
No;66;no;yes;16;1747;92;297;2321;105;1973;3054;98;1374;89;2;24;1
No;78;no;no;0;870;102;1479;1936;64;1646;2058;120;926;110;5;297;0
No;129;no;yes;34;2045;79;3477;1328;113;1129;1901;117;855;148;9;40;2
No;6;no;no;0;2265;93;3851;1521;122;1293;1644;98;74;94;4;254;3
No;107;yes;no;0;2341;91;398;1631;105;1386;2825;100;1271;100;3;27;1
Yes;107;yes;no;0;1333;106;2266;1829;89;1555;2411;123;1085;129;2;348;3
No;138;no;no;0;1339;87;2276;1664;110;1414;1935;139;871;154;3;416;1
No;103;no;no;0;1602;104;2723;1389;70;1181;3125;97;1406;97;2;262;0
No;116;no;yes;44;2306;94;392;2241;103;1905;2440;76;1098;111;2;30;0
No;189;no;no;0;2274;84;3866;1760;81;1496;2061;120;927;63;4;17;2
No;161;no;no;0;728;120;1238;2671;120;227;2225;91;1001;118;2;319;2
No;1;no;no;0;1961;107;3334;2965;82;252;2115;91;952;70;2;189;1
No;89;no;no;0;1971;110;3351;1659;115;141;2273;106;1023;128;3;346;1
No;64;no;no;0;2196;126;3733;3033;100;2578;1545;65;695;97;5;262;1
Yes;126;no;yes;30;1534;90;2608;1514;97;1287;1538;97;692;128;4;346;4
No;129;no;no;0;2160;85;3672;1869;114;1589;2107;109;948;49;10;132;2
No;128;no;yes;32;2229;136;3789;2620;80;2227;1914;101;861;108;4;292;0
No;81;no;yes;36;1159;120;197;2366;95;2011;2550;90;1148;117;6;316;3
No;114;no;no;0;1898;101;3227;1477;80;1255;1727;121;777;106;5;286;1
No;50;no;no;0;1547;102;263;2980;108;2533;2102;95;946;111;3;30;0
No;86;no;no;0;1364;104;2319;2025;110;1721;2307;86;1038;115;1;311;3
No;96;no;no;0;1705;86;2899;2775;88;2359;1625;117;731;122;6;329;1
No;72;no;no;0;2724;88;4631;1079;125;917;1855;81;835;127;2;343;0
No;64;no;yes;40;2100;116;357;2327;89;1978;1688;94;76;59;4;159;8
No;57;yes;yes;17;2365;94;4021;1631;94;1386;2367;117;1065;122;3;329;2
No;65;no;no;0;1539;117;2616;2201;122;1871;2805;147;1262;85;3;23;2
No;163;no;no;0;2230;120;3791;2270;98;193;1883;125;847;88;5;238;1
No;136;no;no;0;2524;74;4291;1679;81;1427;2483;110;1117;107;3;289;2
No;116;no;no;0;1979;84;3364;1681;113;1429;2398;145;1079;120;6;324;1
No;93;no;no;0;1524;74;2591;2746;88;2334;2522;120;1135;66;5;178;3
No;142;no;yes;40;2374;105;4036;1759;93;1495;2103;110;946;92;3;248;3
No;92;no;no;0;2656;82;4515;1807;75;1536;2111;113;95;86;2;232;1
No;70;no;no;0;1973;91;3354;3058;81;2599;1710;105;769;67;6;181;1
No;22;no;yes;14;1991;100;3385;2218;103;1885;657;91;296;42;1;113;1
No;37;no;no;0;2337;114;3973;2079;109;1767;2127;101;957;120;2;324;2
No;51;no;no;0;1831;99;3113;1601;107;1361;3118;121;1403;70;3;189;1
No;174;no;no;0;1394;96;237;1434;108;1219;2252;107;1013;100;5;27;2
Yes;68;no;no;0;2139;112;3636;2605;100;2214;2338;97;1052;84;3;227;1
No;130;no;no;0;2071;70;3521;2001;115;1701;1942;100;874;124;2;335;1
No;104;no;no;0;1397;78;2375;2026;119;1722;2036;102;916;113;5;305;2
No;134;no;no;0;1772;91;3012;2287;105;1944;1943;113;874;89;3;24;2
No;108;no;yes;35;1698;136;2887;1737;101;1476;2146;105;966;95;7;257;2
No;103;no;no;0;1735;83;295;2443;65;2077;2216;66;997;97;2;262;3
No;62;no;no;0;1599;100;2718;1722;99;1464;2632;109;1184;56;4;151;1
No;162;no;no;0;1151;89;1957;1968;111;1673;2124;98;956;114;3;308;2
No;93;no;yes;19;1368;113;2326;1795;105;1526;711;95;32;125;3;338;2
No;42;no;no;0;922;108;1567;2112;120;1795;1291;73;581;131;6;354;1
No;155;no;yes;23;2439;112;4146;1330;106;1131;2137;123;962;134;11;362;2
No;36;no;no;0;1171;94;1991;2354;117;2001;2213;108;996;90;2;243;0
Yes;143;no;no;0;2233;99;3796;1671;128;142;2030;84;914;45;4;122;0
No;197;no;no;0;1548;111;2632;1715;102;1458;2273;86;1023;106;2;286;3
Yes;81;no;no;0;2614;141;4444;2157;102;1833;2718;96;1223;80;6;216;1
Yes;138;yes;no;0;465;104;791;1860;114;1581;1675;95;754;96;4;259;4
Yes;103;no;yes;18;1499;84;2548;1709;84;1453;1715;112;772;115;7;311;0
Yes;127;yes;no;0;2422;102;4117;2261;80;1922;2520;96;1134;139;5;375;2
Yes;136;no;no;0;2594;99;441;1727;125;1468;2937;78;1322;107;6;289;1
No;99;no;no;0;2224;102;3781;1858;89;1579;2377;81;107;120;8;324;2
No;95;no;no;0;694;79;118;1908;109;1622;2199;102;99;89;5;24;0
Yes;118;yes;yes;21;1565;122;2661;2092;125;1778;1587;81;714;111;3;30;4
Yes;113;no;no;0;612;111;104;923;88;785;1974;114;888;137;3;37;5
No;128;yes;no;0;2452;112;4168;1015;101;863;1523;116;685;107;5;289;0
No;117;no;no;0;1023;100;1739;1352;104;1149;1997;93;899;157;10;424;3
No;48;no;yes;36;2309;92;3925;1676;121;1425;2700;87;1215;76;4;205;3
No;81;yes;no;0;2274;105;3866;2115;120;1798;2582;113;1162;119;3;321;0
No;57;no;no;0;1928;68;3278;1580;86;1343;2355;105;106;127;6;343;1
No;140;no;no;0;1626;98;2764;2062;109;1753;1416;66;637;82;2;221;1
No;107;no;yes;38;2194;92;373;1805;73;1534;1041;91;468;110;1;297;2
No;56;no;no;0;1372;111;2332;1659;119;141;1823;72;82;143;4;386;1
No;159;no;no;0;877;103;1491;2782;97;2365;1706;93;768;105;10;284;1
No;102;no;no;0;2711;80;4609;1720;133;1462;1692;105;761;103;5;278;1
No;107;no;no;0;1034;94;1758;1893;125;1609;2272;125;1022;144;3;389;1
No;106;no;no;0;522;106;887;2201;113;1871;1123;95;505;114;2;308;2
Yes;225;no;no;0;1654;106;2812;2737;109;2326;2100;93;945;87;3;235;0
No;75;no;no;0;1475;110;2508;1917;97;1629;1350;68;608;164;3;443;2
No;86;no;no;0;2178;93;3703;2147;95;1825;2287;70;1029;113;7;305;0
No;169;no;no;0;2357;79;4007;1369;85;1164;2209;97;994;133;10;359;1
No;122;no;yes;22;2045;92;3477;1396;121;1187;2050;103;923;86;5;232;2
No;106;no;no;0;1784;143;3033;2470;123;210;2599;105;117;96;2;259;0
No;52;no;yes;32;1301;68;2212;2472;77;2101;2894;87;1302;135;5;365;2
No;79;no;yes;34;1037;100;1763;2363;78;2009;2566;102;1155;148;4;40;2
No;135;no;no;0;2399;91;4078;1771;104;1505;2172;118;977;59;3;159;2
No;70;no;no;0;1484;110;2523;2671;90;227;1515;101;682;89;4;24;0
No;80;no;no;0;1486;106;2526;2108;65;1792;2037;86;917;100;2;27;2
No;37;no;no;0;1911;69;3249;1292;113;1098;2075;117;934;129;1;348;0
No;161;no;yes;39;2185;76;3715;1127;94;958;2051;121;923;73;4;197;1
No;137;no;no;0;975;95;1658;1958;82;1664;2888;78;130;0;0;0;1
No;123;no;no;0;1287;126;2188;1176;94;100;1984;132;893;108;5;292;0
No;80;no;yes;38;2366;69;4022;1975;68;1679;2095;102;943;95;10;257;2
No;94;no;no;0;859;113;146;2267;91;1927;2796;110;1258;156;16;421;0
No;105;no;yes;27;1412;96;240;1677;94;1425;2744;101;1235;114;2;308;1
No;73;no;yes;31;1944;104;3305;1760;84;1496;2301;110;1035;115;3;311;0
No;112;no;no;0;1676;100;2849;1545;90;1313;2814;107;1266;173;3;467;2
No;179;no;no;0;2345;134;3987;1642;94;1396;1914;72;861;61;4;165;1
No;57;no;no;0;1542;78;2621;1967;85;1672;2535;97;1141;101;9;273;1
No;127;no;yes;14;1432;99;2434;1699;91;1444;2216;77;997;116;1;313;1
No;122;yes;yes;40;2164;80;3679;2497;90;2122;1859;99;837;127;4;343;1
No;33;no;yes;35;1619;85;2752;1512;82;1285;1910;131;859;85;2;23;1
No;94;no;no;0;1187;90;2018;2051;57;1743;1722;100;775;104;6;281;3
No;100;no;no;0;1791;123;3045;1966;132;1671;1867;116;84;102;10;275;1
No;106;no;no;0;1479;97;2514;2093;99;1779;1621;80;729;88;5;238;2
No;148;no;yes;38;2092;110;3556;1166;73;991;1096;105;493;165;4;446;2
No;120;no;yes;29;2443;140;4153;3223;89;274;1668;83;751;106;6;286;0
No;91;no;yes;34;1753;96;298;2623;122;223;1439;76;648;56;11;151;1
No;86;no;no;0;1505;92;2559;1203;95;1023;2712;96;122;90;2;243;1
No;78;no;yes;25;1974;73;3356;2957;113;2513;2117;73;953;132;2;356;0
No;94;no;no;0;1635;136;278;1437;111;1221;2534;82;114;126;5;34;1
Yes;85;no;no;0;2369;93;4027;1977;113;168;3091;78;1391;114;7;308;2
No;89;no;no;0;823;77;1399;1672;80;1421;1947;70;876;72;4;194;1
No;128;no;no;0;2160;111;3672;1537;115;1306;2270;74;1022;127;4;343;1
No;115;yes;no;0;1800;119;306;1988;126;169;2171;70;977;124;3;335;1
No;76;no;no;0;1437;55;2443;1731;108;1471;2391;95;1076;58;6;157;1
No;75;no;yes;39;1982;107;3369;2804;132;2383;1296;73;583;113;7;305;1
No;90;no;yes;29;1856;106;3155;2197;113;1867;1521;120;684;111;5;30;2
No;30;no;no;0;1376;108;2339;1620;80;1377;1877;126;845;58;10;157;3
Yes;105;yes;no;0;2739;119;4656;2786;103;2368;2553;90;1149;109;7;294;1
No;102;no;yes;31;1253;92;213;1412;108;120;1682;68;757;63;2;17;3
No;83;no;no;0;1788;102;304;1679;84;1427;1789;65;805;86;4;232;3
No;63;no;yes;49;2149;86;3653;1982;89;1685;1708;139;769;82;5;221;0
No;155;no;no;0;1630;93;2771;2039;102;1733;1590;109;715;151;4;408;2
No;82;no;yes;29;1638;77;2785;1349;112;1147;793;95;357;88;2;238;2
No;87;no;no;0;1895;113;3222;2049;100;1742;2217;93;998;134;3;362;1
No;115;no;yes;26;1552;110;2638;2309;133;1963;2616;100;1177;45;4;122;0
Yes;99;yes;no;0;2423;102;4119;3509;102;2983;1631;93;734;113;3;305;0
No;121;yes;yes;44;2541;127;432;1802;108;1532;1962;129;883;87;4;235;3
No;54;no;yes;33;1120;90;1904;2080;112;1768;1503;83;676;113;4;305;2
No;105;no;no;0;1155;73;1964;2673;83;2272;1142;90;514;133;5;359;3
No;73;no;no;0;1371;102;2331;2108;114;1792;1914;120;861;111;4;30;1
No;95;no;no;0;1984;113;3373;2359;144;2005;3256;99;1465;101;3;273;0
No;21;no;yes;19;1327;94;2256;2046;101;1739;1547;78;696;129;7;348;3
No;163;no;yes;25;2196;99;3733;2104;99;1788;2427;88;1092;138;8;373;2
No;57;no;no;0;1696;96;2883;2347;112;1995;2854;83;1284;112;4;302;0
No;104;yes;no;0;1604;73;2727;2939;103;2498;3066;90;138;126;5;34;4
No;83;no;yes;20;950;89;1615;1679;92;1427;2006;79;903;112;2;302;0
No;141;no;no;0;1601;87;2722;2567;120;2182;2700;107;1215;70;1;189;2
No;95;no;no;0;1946;114;3308;2328;106;1979;1734;92;78;38;2;103;3
Yes;184;no;no;0;2364;73;4019;2873;120;2442;1920;94;864;138;4;373;1
No;74;no;no;0;1571;95;2671;2131;36;1811;2804;77;1262;76;3;205;2
No;67;no;no;0;1798;125;3057;1732;86;1472;2728;97;1228;109;4;294;0
No;104;yes;no;0;1482;108;2519;1618;113;1375;2593;103;1167;110;4;297;0
No;71;no;yes;39;1832;103;3114;2094;111;178;1724;109;776;119;6;321;1
Yes;149;no;no;0;1192;88;2026;1683;110;1431;2047;119;921;122;6;329;4
No;154;no;yes;35;2240;102;3808;1920;99;1632;1631;100;734;96;2;259;0
No;138;no;yes;21;195;149;332;1409;109;1198;1797;111;809;79;1;213;0
No;117;no;no;0;1848;83;3142;2486;101;2113;1331;113;599;96;8;259;1
No;130;no;no;0;1763;140;2997;2010;104;1709;1619;123;729;113;5;305;1
No;73;no;no;0;2417;115;4109;1685;133;1432;1698;122;764;111;2;30;2
No;100;no;yes;38;2247;121;382;2940;131;2499;2900;61;1305;98;6;265;0
No;149;no;no;0;2073;115;3524;1984;82;1686;1141;83;513;86;4;232;1
No;29;no;no;0;1968;81;3346;1680;110;1428;1326;98;597;127;7;343;2
No;131;no;no;0;1109;74;1885;1156;90;983;1905;114;857;158;9;427;1
No;153;no;no;0;1225;145;2083;2733;103;2323;1978;71;89;80;3;216;2
No;84;no;no;0;2269;144;3857;2016;122;1714;1302;121;586;132;5;356;2
No;133;no;no;0;1870;65;3179;1414;128;1202;2382;108;1072;100;8;27;2
No;112;no;no;0;1705;113;2899;1932;129;1642;1880;91;846;112;6;302;0
No;87;no;no;0;2048;101;3482;1610;80;1369;2857;89;1286;95;3;257;0
No;72;no;no;0;1659;114;282;2359;97;2005;2101;120;945;120;5;324;2
Yes;66;no;no;0;1540;133;2618;1989;121;1691;1519;100;684;95;3;257;4
No;65;no;yes;29;1581;104;2688;3222;81;2739;2100;96;945;89;6;24;1
No;74;no;no;0;2252;93;3828;2151;120;1828;2418;95;1088;91;2;246;2
Yes;116;no;no;0;1594;79;271;1795;88;1526;1678;71;755;97;2;262;6
No;68;no;no;0;1727;95;2936;1391;90;1182;1743;99;784;117;1;316;2
No;68;no;no;0;2228;99;3788;1758;85;1494;2020;111;909;110;3;297;3
No;54;yes;no;0;2141;77;364;2405;94;2044;1889;75;85;101;3;273;1
No;99;no;no;0;548;92;932;1730;103;1471;1951;125;878;75;3;203;1
No;107;no;no;0;1340;104;2278;1745;94;1483;3111;79;140;73;3;197;3
No;124;no;no;0;1848;74;3142;1751;84;1488;1582;95;712;105;6;284;1
No;95;no;yes;36;2831;112;4813;2862;86;2433;2617;129;1178;113;3;305;3
Yes;173;no;no;0;2918;143;4961;2143;134;1822;1512;119;68;99;2;267;0
No;110;no;no;0;2227;94;3786;1058;98;899;2148;78;967;135;4;365;1
No;102;no;no;0;1745;79;2967;2368;136;2013;2704;110;1217;85;5;23;0
No;130;no;no;0;684;86;1163;1933;110;1643;1715;139;772;104;4;281;0
No;91;no;yes;31;2730;78;4641;2155;98;1832;1047;114;471;96;2;259;1
Yes;64;yes;no;0;2253;134;383;1082;87;92;1396;132;628;173;9;467;1
No;176;no;yes;23;2832;130;4814;1626;74;1382;1777;104;80;72;6;194;1
Yes;93;yes;no;0;1314;78;2234;2197;106;1867;1557;103;701;111;2;30;1
No;84;no;yes;12;897;87;1525;1386;73;1178;1658;114;746;107;2;289;1
No;138;no;no;0;1271;102;2161;2477;106;2105;2077;75;935;50;3;135;3
No;101;no;yes;28;1059;132;180;2317;107;1969;2813;120;1266;107;5;289;1
No;136;no;no;0;1423;79;2419;1580;113;1343;1775;75;799;60;11;162;2
No;111;no;no;0;1913;80;3252;1385;94;1177;2460;107;1107;64;3;173;2
No;132;no;yes;36;2019;93;3432;1563;75;1329;1313;92;591;137;5;37;0
No;128;no;no;0;2473;91;4204;1827;60;1553;1432;112;644;147;2;397;3
No;92;no;yes;38;2422;96;4117;1597;144;1357;2100;108;945;89;1;24;1
Yes;197;yes;no;0;1273;80;2164;2223;115;189;1739;95;783;137;5;37;5
No;191;no;no;0;1620;104;2754;2412;120;205;2104;83;947;109;7;294;1
No;99;no;yes;33;1791;93;3045;2383;102;2026;1657;96;746;106;1;286;2
No;106;no;yes;31;1974;125;3356;1234;110;1049;1156;101;52;123;4;332;3
No;88;no;no;0;1482;82;2519;3087;67;2624;2354;79;1059;64;4;173;2
No;78;no;no;0;1931;85;3283;1721;105;1463;1296;119;583;102;1;275;0
No;98;no;no;0;1717;99;2919;1748;87;1486;1896;130;853;78;6;211;1
No;17;no;yes;35;1985;123;3375;2706;74;230;2099;130;945;81;10;219;1
No;56;no;yes;24;1217;87;2069;1840;76;1564;2666;98;120;127;3;343;1
No;84;no;no;0;1302;105;2213;2780;60;2363;3054;74;1374;140;6;378;2
No;95;no;no;0;2034;96;3458;1686;61;1433;1730;105;779;137;3;37;2
No;16;no;no;0;1747;83;297;2808;122;2387;1717;80;773;105;8;284;5
Yes;76;yes;no;0;2410;120;4097;2318;96;197;2202;67;991;99;1;267;1
No;93;no;no;0;1417;95;2409;2210;100;1879;2271;71;1022;102;3;275;0
No;83;no;no;0;1348;96;2292;1672;78;1421;1615;123;727;77;5;208;2
No;123;no;no;0;1631;119;2773;2494;51;212;1682;77;757;90;10;243;1
No;64;no;no;0;1455;116;2474;2284;110;1941;2734;91;123;89;8;24;1
Yes;82;no;no;0;3298;73;5607;2083;120;1771;2671;102;1202;106;6;286;0
No;107;no;no;0;1945;97;3307;1863;131;1584;1783;106;802;127;1;343;2
No;110;no;no;0;1319;93;2242;2727;106;2318;1928;105;868;71;4;192;1
No;96;no;yes;29;1500;91;255;1594;75;1355;2281;55;1026;85;3;23;1
No;47;no;yes;30;1966;93;3342;2414;140;2052;2260;118;1017;129;4;348;2
No;115;no;no;0;997;107;1695;1451;96;1233;1494;99;672;141;4;381;2
No;69;no;no;0;1436;88;2441;1418;86;1205;1940;83;873;108;5;292;3
No;163;no;yes;40;2319;56;3942;2118;91;180;2685;74;1208;123;3;332;2
No;90;no;no;0;378;80;643;1553;105;132;1750;111;788;142;5;383;3
No;98;no;no;0;728;107;1238;1864;103;1584;1753;110;789;105;4;284;3
No;90;no;yes;39;948;89;1612;2191;91;1862;1974;65;888;114;5;308;1
No;174;no;yes;15;2218;143;3771;2106;115;179;2218;109;998;124;9;335;1
Yes;95;no;no;0;2690;120;4573;2337;120;1986;1793;61;807;73;4;197;2
Yes;79;no;no;0;2683;114;4561;1855;111;1577;2646;88;1191;63;7;17;1
No;123;no;yes;27;1987;127;3378;2490;105;2117;1732;124;779;125;5;338;1
Yes;99;no;no;0;1155;75;1964;2181;111;1854;2549;98;1147;115;7;311;7
No;114;no;no;0;2021;100;3436;1957;102;1663;2918;120;1313;133;5;359;2
No;141;no;no;0;2156;113;3665;2006;81;1705;1538;107;692;124;6;335;1
No;132;no;no;0;1699;107;2888;2094;121;178;2061;79;927;115;2;311;1
No;133;no;no;0;2017;85;3429;1694;116;144;2863;80;1288;60;4;162;0
No;133;no;no;0;2211;133;3759;1602;140;1362;1618;84;728;84;3;227;4
No;93;no;yes;32;2187;117;3718;1150;61;978;1927;85;867;94;5;254;2
Yes;34;no;no;0;2937;89;4993;2725;71;2316;1782;76;802;110;10;297;2
Yes;140;no;no;0;1203;108;2045;2404;84;2043;2164;74;974;77;3;208;4
No;96;no;yes;26;1758;96;2989;2066;84;1756;1780;105;801;111;2;30;2
Yes;144;no;no;0;2785;95;4735;2407;90;2046;1200;90;54;116;5;313;1
No;24;no;yes;29;2363;105;4017;1908;114;1622;1290;105;581;72;2;194;3
No;54;no;no;0;2738;113;4655;1196;156;1017;2676;117;1204;117;3;316;1
Yes;50;no;no;0;1311;129;2229;1605;94;1364;2069;88;931;56;9;151;5
No;92;no;yes;23;1674;83;2846;2586;129;2198;1164;110;524;112;3;302;4
No;96;no;no;0;1977;68;3361;2505;53;2129;1812;67;815;105;3;284;3
No;146;no;no;0;1695;93;2882;2309;71;1963;2698;115;1214;90;7;243;2
No;138;yes;yes;17;2252;116;3828;1734;88;1474;1458;99;656;117;4;316;0
No;102;no;no;0;1745;73;2967;2137;114;1816;1647;116;741;103;5;278;4
Yes;76;no;no;0;1297;84;2205;1775;80;1509;2289;87;103;75;3;203;5
No;99;no;no;0;2000;66;340;1079;104;917;2337;82;1052;114;2;308;3
No;83;no;yes;36;959;87;163;2616;105;2224;2286;109;1029;133;4;359;0
No;36;no;yes;25;1528;110;2598;2428;67;2064;1474;74;663;91;2;246;1
No;70;no;no;0;1299;102;2208;2087;133;1774;2314;93;1041;143;3;386;1
Yes;109;yes;no;0;2684;85;4563;1506;131;128;2979;84;1341;97;8;262;2
No;100;no;no;0;1885;152;3205;1483;115;1261;1798;88;809;152;5;41;2
No;104;no;no;0;1706;97;290;1621;111;1378;2107;131;948;61;1;165;1
No;106;no;no;0;1914;124;3254;2007;116;1706;2301;76;1035;82;3;221;1
No;84;no;no;0;753;96;128;1799;113;1529;1938;134;872;123;1;332;1
No;80;no;no;0;1498;123;2547;2763;75;2349;2414;75;1086;109;7;294;2
No;100;no;no;0;1159;87;197;1113;56;946;1702;77;766;71;4;192;1
No;99;no;no;0;1288;86;219;2039;105;1733;2826;131;1272;141;4;381;2
No;50;no;no;0;1317;108;2239;2165;103;184;1961;126;882;110;5;297;1
No;105;no;no;0;1014;48;1724;1591;119;1352;2592;53;1166;122;2;329;1
No;113;no;yes;23;1490;104;2533;2358;67;2004;2018;76;908;95;5;257;4
No;111;no;yes;36;968;123;1646;1706;105;145;1660;85;747;134;4;362;2
No;161;no;no;0;1075;121;1828;2564;46;2179;2472;131;1112;126;3;34;2
Yes;70;no;no;0;2328;95;3958;3034;111;2579;2556;104;115;129;7;348;0
No;97;no;yes;43;1211;105;2059;2602;115;2212;2224;100;1001;83;5;224;3
No;130;no;no;0;1243;70;2113;2707;99;2301;2395;83;1078;35;6;95;0
No;92;no;no;0;1577;101;2681;2986;100;2538;2169;99;976;138;3;373;1
No;119;no;no;0;1243;68;2113;2071;88;176;1574;93;708;148;1;40;0
Yes;115;no;no;0;2864;125;4869;2057;74;1748;1914;141;861;69;6;186;1
No;134;no;no;0;1417;95;2409;2056;101;1748;2185;60;983;88;6;238;0
No;127;no;yes;25;1730;91;2941;2458;64;2089;3000;99;135;48;3;13;0
Yes;80;no;no;0;2687;120;4568;3010;147;2559;1670;140;752;58;1;157;2
No;153;no;yes;31;2185;130;3715;1342;103;1141;1189;105;535;94;6;254;0
No;85;no;no;0;2553;114;434;1946;83;1654;2766;78;1245;37;5;10;3
No;79;no;no;0;419;124;712;2110;95;1794;2379;55;1071;114;5;308;1
No;35;no;no;0;2608;87;4434;2581;78;2194;1313;123;591;58;2;157;1
No;120;no;yes;26;2394;94;407;2594;88;2205;2380;132;1071;77;3;208;0
No;68;no;no;0;2267;94;3854;1684;129;1431;1887;117;849;102;1;275;0
Yes;60;no;no;0;1793;147;3048;2089;89;1776;2482;98;1117;135;6;365;1
No;120;no;no;0;1580;110;2686;1970;103;1675;1549;132;697;100;5;27;1
No;71;no;yes;23;1757;82;2987;2589;136;2201;2684;154;1208;141;7;381;1
No;124;no;no;0;1574;107;2676;1678;112;1426;1888;102;85;88;3;238;3
Yes;23;no;no;0;1131;74;1923;1688;95;1435;2629;126;1183;69;2;186;1
No;225;no;no;0;1827;142;3106;2465;63;2095;2180;103;981;88;2;238;1
Yes;181;yes;no;0;1613;83;2742;1244;83;1057;2620;98;1179;141;3;381;0
No;63;no;no;0;1425;92;2423;2083;102;1771;2289;120;103;75;2;203;2
Yes;54;yes;no;0;1905;108;3239;2597;108;2207;1415;111;637;97;2;262;2
No;80;yes;yes;15;1593;110;2708;1706;120;145;1412;82;635;119;5;321;1
No;118;yes;yes;39;1538;106;2615;1233;111;1048;1178;103;53;92;6;248;1
No;42;yes;no;0;1807;127;3072;1746;94;1484;1653;114;744;120;6;324;2
No;134;no;no;0;2027;105;3446;2249;90;1912;2539;108;1143;121;7;327;0
